Epoch,Train Loss,Train Accuracy,Valid Loss,Valid Accuracy
0,0.44607213139533997,0.9799107142857143,0.524065762758255,0.8722826086956521
1,0.4022225524697985,0.9933035714285714,0.5313836634159088,0.8661684782608696
2,0.4196339505059378,0.9776785714285714,0.3916344493627548,1.0
3,0.39602103403636385,1.0,0.39125901460647583,1.0
4,0.40617514295237406,1.0,0.3955625593662262,1.0
5,0.4106627596276147,0.9732142857142857,0.39242134988307953,1.0
6,0.4109660770211901,0.9857954545454545,0.4139167368412018,1.0
7,0.39910708154950825,1.0,0.3916905075311661,1.0
8,0.39843063056468964,1.0,0.3908655345439911,1.0
9,0.40243194358689444,0.9933035714285714,0.39464326202869415,1.0
10,0.4000695581947054,1.0,0.39285868406295776,1.0
11,0.3966516490493502,1.0,0.39353105425834656,1.0
12,0.39745545600141796,1.0,0.39097993075847626,1.0
13,0.40301854056971415,1.0,0.3928305506706238,1.0
14,0.40320395146097454,0.9967532467532468,0.41595327854156494,1.0
15,0.4065732317311423,0.9933035714285714,0.3931794762611389,1.0
16,0.4029689516339983,0.9933035714285714,0.3945992588996887,1.0
17,0.39649919314043863,1.0,0.39316292107105255,1.0
18,0.39687380833285196,1.0,0.3916543573141098,1.0
19,0.3977364408118384,1.0,0.39240066707134247,1.0
20,0.3963766417333058,1.0,0.40074609220027924,1.0
21,0.3991524747439793,1.0,0.3949889838695526,1.0
22,0.3954686777932303,1.0,0.3928445428609848,1.0
23,0.3954338324921472,1.0,0.3925480991601944,1.0
24,0.39648921361991335,1.0,0.39074793457984924,1.0
25,0.3976554593869618,1.0,0.39109812676906586,1.0
26,0.3970432643379484,1.0,0.39127375185489655,1.0
27,0.39701069252831594,1.0,0.3946641832590103,1.0
28,0.394864593233381,1.0,0.39297226071357727,1.0
29,0.3992622835295541,1.0,0.39380425214767456,1.0
