Epoch,Train Loss,Train Accuracy,Valid Loss,Valid Accuracy
0,0.4431849961218081,0.8320723684210526,0.5523436546325684,0.6491071428571429
1,0.4162541494557732,0.9120065789473685,0.41179728507995605,0.9372023809523811
2,0.41380531144769567,0.9021381578947368,0.41235901713371276,0.9467261904761906
3,0.40998043041480214,0.9172697368421053,0.45612632632255556,0.8839285714285714
4,0.4108147887807143,0.9230263157894738,0.4231631398200989,0.918452380952381
5,0.41112769591180903,0.921875,0.41101213097572326,0.9375
6,0.40754474542642893,0.9136513157894737,0.39766945242881774,0.9339285714285713
7,0.40695430573664215,0.9361842105263158,0.4210512161254883,0.95625
8,0.4040206325681586,0.9424342105263158,0.4153122305870056,0.9059523809523811
9,0.4046365940257123,0.9366776315789473,0.4109623789787292,0.9375
10,0.4013701049905074,0.9455592105263158,0.42323575615882875,0.9092261904761905
11,0.3992297531742799,0.9490131578947368,0.41702949404716494,0.8779761904761905
12,0.3960344069882443,0.9488486842105263,0.3966808319091797,0.95
13,0.3979474000240627,0.9430921052631579,0.39424800872802734,0.9717261904761905
14,0.4009894242412166,0.9338815789473683,0.4113416612148285,0.9375
15,0.40355834835454035,0.9333881578947368,0.43331019282341005,0.8464285714285713
16,0.39826001540610667,0.9490131578947368,0.4071221828460693,0.9279761904761905
17,0.3995760898841055,0.9393092105263158,0.4009808599948883,0.95
18,0.39617819848813507,0.9488486842105263,0.39704551100730895,0.95625
19,0.39815101576478856,0.9547697368421053,0.40595422983169555,0.949702380952381
20,0.39779567247942876,0.9391447368421053,0.3942017793655396,0.9779761904761906
21,0.39381124941926254,0.9555921052631579,0.3907339096069336,0.9717261904761905
22,0.39509087957833944,0.9560855263157894,0.413528835773468,0.8869047619047619
23,0.3949048440707357,0.9539473684210527,0.39160540103912356,0.9494047619047619
24,0.3933434666771638,0.9580592105263158,0.3932426989078522,0.9654761904761905
25,0.394198958811007,0.9588815789473685,0.4008765995502472,0.9214285714285714
26,0.39440869657616867,0.962171052631579,0.38877893686294557,0.975
27,0.392494156172401,0.9702302631578947,0.4057143688201904,0.9092261904761905
28,0.3949926966115048,0.9562499999999999,0.40370067954063416,0.9404761904761905
29,0.3938691757227245,0.9511513157894737,0.388580721616745,0.975
