Epoch,Train Loss,Train Accuracy,Valid Loss,Valid Accuracy
0,0.448312499021229,0.8322368421052632,0.4473084330558777,0.8148809523809524
1,0.41395656607652964,0.9098684210526317,0.470018607378006,0.8151785714285713
2,0.4101534305434478,0.9098684210526317,0.4189967155456543,0.9214285714285714
3,0.409615305693526,0.9136513157894737,0.43577260375022886,0.8339285714285714
4,0.40700953336138473,0.9241776315789473,0.4140209496021271,0.8875
5,0.4138479499440444,0.8935855263157894,0.40197171568870543,0.918452380952381
6,0.4014995058900432,0.9432565789473685,0.43047797679901123,0.8619047619047618
7,0.40648350982289566,0.9192434210526316,0.43023322224617006,0.9529761904761905
8,0.4086914007600985,0.9110197368421052,0.44720143675804136,0.93125
9,0.4009347871730202,0.9449013157894737,0.40279093384742737,0.9529761904761905
10,0.3981036575216996,0.9389802631578947,0.411947500705719,0.9279761904761905
11,0.40009333350156484,0.953125,0.4308139443397522,0.862202380952381
12,0.4014803578979091,0.9422697368421052,0.4004038631916046,0.9592261904761905
13,0.40099898451252985,0.9363486842105262,0.40537235140800476,0.9342261904761905
14,0.40314757745516927,0.9333881578947368,0.4025231599807739,0.98125
15,0.3962728687022862,0.9564144736842105,0.39212982058525087,0.9529761904761905
16,0.3951092613370795,0.959375,0.4121444165706635,0.90625
17,0.3952028931755769,0.9547697368421053,0.3900611877441406,0.9464285714285714
18,0.39335026474375473,0.9603618421052631,0.40887593626976015,0.918452380952381
19,0.39575240800255224,0.9439144736842104,0.3923268735408783,0.9625
20,0.39366955427747025,0.9605263157894737,0.3986232280731201,0.9684523809523811
21,0.39621065321721527,0.9457236842105263,0.39244619607925413,0.955952380952381
22,0.3936244759120439,0.9603618421052631,0.40680778622627256,0.9592261904761905
23,0.39430589581790726,0.9457236842105263,0.39795706868171693,0.949702380952381
24,0.39261940513786514,0.9769736842105263,0.3947282135486603,0.9404761904761905
25,0.39279161550496755,0.9613486842105263,0.4031134247779846,0.8994047619047618
26,0.3960023702759492,0.9449013157894737,0.4174278736114502,0.9056547619047619
27,0.3924506839952971,0.9646381578947368,0.38898672461509703,0.9875
28,0.39448247536232595,0.9595394736842104,0.39660435914993286,0.9372023809523811
29,0.39323250400392634,0.9546052631578947,0.3925503671169281,0.9464285714285714
