Epoch,Train Loss,Train Accuracy,Valid Loss,Valid Accuracy
0,0.44346156015115623,0.8197936432637571,0.44176293696675983,0.8154761904761905
1,0.4048265849842745,0.8982447817836813,0.41061930997031076,0.9523809523809524
2,0.3982171053979911,0.9221616065781152,0.4176315111773355,0.9166666666666667
3,0.4002841342897976,0.9215290955091714,0.39643571206501554,0.9494047619047619
4,0.39451326634369643,0.9350490196078431,0.39753139444759916,0.9821428571428571
5,0.3923291090656729,0.9404451296647691,0.42453813552856445,0.8928571428571429
6,0.3943819958789676,0.9338037634408602,0.40272106868880136,0.931547619047619
7,0.3913649232948528,0.9485096457938014,0.394854268857411,0.9732142857142857
8,0.3895166253342348,0.9558823529411765,0.3990076950618199,0.9107142857142857
9,0.389540458426756,0.9484898798228969,0.39872823442731586,0.9389880952380952
10,0.39099879942688287,0.9442401960784313,0.4005326841558729,0.9375
11,0.38934122347364236,0.9491421568627451,0.3935094049998692,0.9776785714285714
12,0.38972407637857925,0.9515140733712839,0.3908026899610247,0.9732142857142857
13,0.38919301710876764,0.9644607843137255,0.39462289214134216,0.9702380952380952
14,0.38762010078804165,0.9613970588235294,0.3903944747788565,0.9776785714285714
15,0.3884352206015119,0.9503281151170145,0.39338721547807964,0.9866071428571429
16,0.38613005420740915,0.9564555660974068,0.3947361579963139,0.9791666666666667
17,0.38786889700328603,0.960171568627451,0.39229857495852877,0.9910714285714286
18,0.3859263202723335,0.9620098039215687,0.3946731260844639,0.9866071428571429
19,0.3858790572951822,0.9564358001265023,0.39387965202331543,0.9732142857142857
20,0.3863322039445241,0.9589065464895636,0.3947204777172634,0.9419642857142857
21,0.38683752978549285,0.9589263124604681,0.3962188533374241,0.9776785714285714
22,0.3860918937944898,0.9583333333333334,0.3949203704084669,0.9866071428571429
23,0.3868411493067648,0.9545975648323847,0.39455792733601164,0.9910714285714286
24,0.38517939752223446,0.9668919987349779,0.3914868916784014,0.9613095238095238
25,0.38632426951445786,0.957068311195446,0.38854571751185824,0.9866071428571429
26,0.3857436758630416,0.9619900379506642,0.38914171286991667,0.96875
27,0.3855944457007389,0.9650537634408602,0.3882353092942919,0.9821428571428571
28,0.38598208275495793,0.9619702719797597,0.38999633703913006,0.96875
29,0.38474462897169825,0.9693429791271347,0.39021560549736023,0.9866071428571429
30,0.38498035482331816,0.9662990196078431,0.38873993924685885,0.9910714285714286
31,0.38433307643030207,0.9754704301075269,0.3868940940925053,0.9732142857142857
32,0.38474381145309,0.9717939595192916,0.3906817776816232,0.974702380952381
33,0.3839740899263644,0.96875,0.39216940317835125,0.9821428571428571
34,0.3839400206126419,0.96875,0.39140135049819946,0.9821428571428571
35,0.3837309754362293,0.97301944971537,0.3890490106173924,0.96875
36,0.3847789443006702,0.9662397216951297,0.39190628698893953,0.96875
37,0.3843051592508952,0.9705684693232132,0.39462202361651827,0.9821428571428571
38,0.3840025949711893,0.9730392156862745,0.3922714037554605,0.9702380952380952
39,0.38409264473354116,0.9724067046173308,0.39061821358544485,0.9776785714285714
40,0.38436665312916624,0.9754704301075269,0.38839325308799744,0.9836309523809524
41,0.38404473019581215,0.9668919987349779,0.39233213663101196,0.9910714285714286
42,0.3830819264346478,0.9821908602150538,0.39185882040432524,0.9598214285714286
43,0.38407180881967734,0.9656665085388995,0.3914869172232492,0.9821428571428571
44,0.38344231715389326,0.9705487033523087,0.3891996315547398,0.9821428571428571
45,0.38321615200416714,0.97301944971537,0.39050540753773283,0.9955357142857143
46,0.3833978871504466,0.9748379190385832,0.3879454902240208,0.9880952380952381
47,0.3838714530654982,0.9748774509803921,0.3925409529890333,0.9821428571428571
48,0.3834927853415994,0.9754308981657179,0.38736542633601595,0.9732142857142857
49,0.38276820030866887,0.977328431372549,0.3909845863069807,0.9955357142857143
