Epoch,Train Loss,Train Accuracy,Valid Loss,Valid Accuracy
0,0.45581729131062393,0.9556017889492754,0.4409633870574011,0.9878732508745627
1,0.4386106243060119,0.985153419384058,0.44503572572400607,0.9949048913043478
2,0.43398740154731535,0.9925271739130435,0.4334883591619091,0.9984148550724637
3,0.4320032259557342,0.9955417798913043,0.4348035536814427,0.9950181159420289
4,0.4312230726380063,0.9966174139492754,0.43163266799588135,0.9996603260869565
5,0.4304752143072909,0.9972543025362319,0.42890747010275937,0.9996603260869565
6,0.4297865910347605,0.9982733242753623,0.42889450760423276,0.9996603260869565
7,0.4295247024384098,0.9982308650362319,0.43528746543587116,0.9975090579710145
8,0.42925838822417933,0.9986554574275363,0.4308019318226455,0.9988677536231884
9,0.4289780932654073,0.9990234375,0.42920928696791333,0.9996603260869565
