Epoch,Train Loss,Train Accuracy,Valid Loss,Valid Accuracy
0,0.36997184160617963,0.8916632625272332,0.34035401149936345,0.955126811594203
1,0.34570944987740654,0.9466911764705882,0.3332935535389444,0.9688677536231884
2,0.33795842286483396,0.9613761102731692,0.333430083160815,0.9682065217391305
3,0.3335319258321344,0.9700016758840289,0.32892450560694153,0.9778351449275362
4,0.33132651147954084,0.9748093681917211,0.3283281848482464,0.981929347826087
5,0.32960921378242164,0.9790815631808278,0.32609657891418625,0.9852898550724638
6,0.3280485244650467,0.9837111928104575,0.3263955153848814,0.988179347826087
7,0.32755399884936076,0.9839665032679739,0.3258683414562889,0.9876358695652174
8,0.3268608493093312,0.9857877178649237,0.3248452155486397,0.9892663043478261
9,0.3264948095728629,0.9861752660465897,0.32512108657671057,0.9923731884057971
10,0.32613716493634615,0.9867238562091504,0.3247221948012062,0.9876177536231884
11,0.32565234758950007,0.9874727668845316,0.32444005064342335,0.991304347826087
12,0.3255162145252581,0.9885751843472432,0.3238170280404713,0.993070652173913
13,0.32499762759229456,0.9891067538126361,0.3243544058955234,0.993070652173913
14,0.3250063853034007,0.9894812091503268,0.3242106633341831,0.9900634057971015
15,0.32499319738617133,0.9895833333333334,0.3241873710051827,0.9904891304347826
16,0.32472866082113555,0.9903152233115469,0.32384497924991273,0.9926630434782608
17,0.3245840153468201,0.9899918300653595,0.3239942268184994,0.9921195652173913
18,0.32445397770158085,0.991064133986928,0.3240839148345201,0.9940217391304348
19,0.32432183172058693,0.9906386165577342,0.3238572377225627,0.9938858695652174
20,0.32405094594607425,0.9922726034858388,0.32353736330633576,0.9947010869565217
21,0.32419453700902934,0.9909109477124183,0.32433052866355233,0.9942934782608696
22,0.3241194437921437,0.9914385893246187,0.3235981337402178,0.9925271739130435
23,0.3237524722136703,0.9926470588235294,0.32342926173106484,0.9949728260869565
24,0.3237893797603308,0.9923577069716776,0.3234726984863696,0.9951086956521739
25,0.32383003408872485,0.9920343137254902,0.3234801673370859,0.9956521739130435
26,0.3236810875679153,0.9925108932461874,0.3233989902164625,0.9936141304347826
27,0.3236351077787757,0.9926470588235294,0.3235338794148487,0.993070652173913
28,0.3237809146184288,0.9925279139433552,0.32324722694314045,0.9952445652173914
29,0.3236076765914888,0.992613017429194,0.3231363655432411,0.9949728260869565
30,0.3234114374372954,0.9937193627450981,0.32314789023088375,0.9945652173913043
31,0.3234412772398369,0.9927662037037037,0.3232234353604524,0.9960597826086957
32,0.32347585181330285,0.9929874727668845,0.3234593743863313,0.994411231884058
33,0.3234566491511133,0.9929023692810458,0.3239528553641361,0.9933423913043479
34,0.3236633944842551,0.9927452551533434,0.32330595203067947,0.9952445652173914
35,0.3234200061568767,0.9932087418300654,0.3233011817154677,0.996195652173913
36,0.3233758636744194,0.9932938453159041,0.32334864152514414,0.9952445652173914
37,0.32334660418932215,0.9930686483995308,0.32344153471615006,0.9936141304347826
38,0.32326985035327005,0.9936172385620915,0.32316335595172385,0.9964673913043478
39,0.32318960625296844,0.9944001906318083,0.32310656801514004,0.9963315217391304
40,0.3233110299881767,0.9936853213507625,0.323147934804792,0.9956521739130435
41,0.3233037852805944,0.9938895697167756,0.32300582489241725,0.9959239130434783
42,0.32317218416591614,0.9938895697167756,0.3230392522138098,0.996875
43,0.3232680604446168,0.9934431037372214,0.3237870944582898,0.9952445652173914
44,0.323199746022427,0.9940087145969498,0.32323750102001686,0.9956521739130435
45,0.32317445974204534,0.9939367039550864,0.3229659799648368,0.9955163043478261
46,0.32326828259852974,0.9936683006535948,0.32308143623497176,0.9960597826086957
47,0.32321587769813787,0.9938044662309368,0.3229859731767489,0.9953804347826087
48,0.3232465404733074,0.9936002178649237,0.3233073082954987,0.9933423913043479
49,0.32312524904677553,0.9944852941176471,0.3230566767246827,0.9966032608695652
50,0.3230910129796446,0.9945023148148148,0.322962530799534,0.9970108695652173
51,0.32320276159216893,0.994106910926764,0.3232807441898014,0.9952445652173914
52,0.32303783828331756,0.9945533769063181,0.32298224490621813,0.996875
